lens_make,lens_model,lens_type,lens_crop_factor,lens_dist_model,lens_dist_focal,lens_dist_a,lens_dist_b,lens_dist_c,lens_dist_k1,lens_dist_k2,lens_dist_k3,Corner Radius
Canon,Canon EF 24-105mm f/4L IS II USM,,1.605,ptlens,24,0.00188,-0.00884,-0.00325,,,,0.5616123482
Canon,Canon EF 24-105mm f/4L IS II USM,,1.605,ptlens,35,0.00107,-0.0002,0.00016,,,,0.3851056102
Canon,Canon EF 24-105mm f/4L IS II USM,,1.605,ptlens,50,0.00062,0.00184,0.00406,,,,0.2695739271
Canon,Canon EF 24-105mm f/4L IS II USM,,1.605,ptlens,70,0.00053,0.00185,0.0047,,,,0.1925528051
Canon,Canon EF 24-105mm f/4L IS II USM,,1.605,ptlens,85,0,0.00434,0,,,,0.1585728983
Canon,Canon EF 24-105mm f/4L IS II USM,,1.605,ptlens,105,0,0.00352,0,,,,0.1283685367
Canon,Canon EF 24-105mm f/4L IS USM,,1,ptlens,24,0.017263,-0.049244,0,,,,0.9013878189
Canon,Canon EF 24-105mm f/4L IS USM,,1,ptlens,28,0.010878,-0.024454,0,,,,0.7726181305
Canon,Canon EF 24-105mm f/4L IS USM,,1,ptlens,35,0.007152,-0.009799,0,,,,0.6180945044
Canon,Canon EF 24-105mm f/4L IS USM,,1,ptlens,50,0.002502,0.004803,0,,,,0.4326661531
Canon,Canon EF 24-105mm f/4L IS USM,,1,ptlens,70,0,0.009685,0,,,,0.3090472522
Canon,Canon EF 24-105mm f/4L IS USM,,1,ptlens,88,0,0.008781,0,,,,0.2458330415
Canon,Canon EF 24-105mm f/4L IS USM,,1,ptlens,105,0,0.009598,0,,,,0.2060315015
Canon,Canon EF 24-105mm f/4L IS USM,,1.611,ptlens,24,0.00552,-0.02074,0,,,,0.5595206821
Canon,Canon EF 24-105mm f/4L IS USM,,1.611,ptlens,28,0.00396,-0.01457,0,,,,0.4795891561
Canon,Canon EF 24-105mm f/4L IS USM,,1.611,ptlens,35,0.00091,-0.00171,0,,,,0.3836713249
Canon,Canon EF 24-105mm f/4L IS USM,,1.611,ptlens,50,0.00077,0.00096,0,,,,0.2685699274
Canon,Canon EF 24-105mm f/4L IS USM,,1.611,ptlens,70,0.0016,5.00E-05,0,,,,0.1918356624
Canon,Canon EF 24-105mm f/4L IS USM,,1.611,ptlens,88,0.00467,-0.00624,0,,,,0.1525965497
Canon,Canon EF 24-105mm f/4L IS USM,,1.611,ptlens,105,0.00797,-0.01307,0,,,,0.1278904416
Canon,Canon EF 24-70mm f/2.8L II USM,,1,ptlens,24,0.02964,-0.07853,0.02943,,,,0.9013878189
Canon,Canon EF 24-70mm f/2.8L II USM,,1,ptlens,28,0.02151,-0.05678,0.02905,,,,0.7726181305
Canon,Canon EF 24-70mm f/2.8L II USM,,1,ptlens,35,0.01668,-0.04154,0.0279,,,,0.6180945044
Canon,Canon EF 24-70mm f/2.8L II USM,,1,ptlens,50,-0.00223,0.01856,-0.0182,,,,0.4326661531
Canon,Canon EF 24-70mm f/2.8L II USM,,1,ptlens,70,0.00907,-0.02015,0.02311,,,,0.3090472522
Canon,Canon EF 24-70mm f/2.8L USM,,1,ptlens,24,0.015298,-0.039413,0,,,,0.9013878189
Canon,Canon EF 24-70mm f/2.8L USM,,1,ptlens,27,0.014041,-0.034436,0,,,,0.8012336168
Canon,Canon EF 24-70mm f/2.8L USM,,1,ptlens,30,0.013341,-0.031051,0,,,,0.7211102551
Canon,Canon EF 24-70mm f/2.8L USM,,1,ptlens,34,0.006539,-0.01539,0,,,,0.6362737545
Canon,Canon EF 24-70mm f/2.8L USM,,1,ptlens,38,0.003138,-0.007742,0,,,,0.5692975698
Canon,Canon EF 24-70mm f/2.8L USM,,1,ptlens,43,0,0.000233,0,,,,0.503100178
Canon,Canon EF 24-70mm f/2.8L USM,,1,ptlens,48,0,0.00151,0,,,,0.4506939094
Canon,Canon EF 24-70mm f/2.8L USM,,1,ptlens,55,0,0.003988,0,,,,0.3933328664
Canon,Canon EF 24-70mm f/2.8L USM,,1,ptlens,64,0,0.005787,0,,,,0.3380204321
Canon,Canon EF 24-70mm f/2.8L USM,,1,ptlens,70,0,0.006294,0,,,,0.3090472522
